ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,0,2016
ascending,2,0,2016
ascending,3,0,2016
ascending,4,0,2016
ascending,5,0,2016
ascending,6,0,2016
ascending,7,0,2016
ascending,8,0,2016
ascending,9,0,2016
ascending,10,0,2016
descending,1,0,2016
descending,2,0,2016
descending,3,0,2016
descending,4,0,2016
descending,5,0,2016
descending,6,0,2016
descending,7,0,2016
descending,8,0,2016
descending,9,0,2016
descending,10,0,2016
partial,1,0,2016
partial,2,0,2016
partial,3,0,2016
partial,4,0,2016
partial,5,0,2016
partial,6,0,2016
partial,7,0,2016
partial,8,0,2016
partial,9,0,2016
partial,10,0,2016
random,1,0,2016
random,2,0,2016
random,3,0,2016
random,4,0,2016
random,5,0,2016
random,6,0,2016
random,7,0,2016
random,8,0,2016
random,9,0,2016
random,10,0,2016
